znamka,model,prevozeni_kilometri,gorivo,velikost_motorja,kW,cena
Peugeot,407,229000,diesel,2700,150,2990
Peugeot,307,240150,diesel,1997,100,2690
Peugeot,307,153000,bencinski,1587,80,2090
Peugeot,308,159000,diesel,1560,68,5990
Peugeot,508,201058,diesel,1997,120,10000
Peugeot,206,133450,bencinski,1360,55,1450
Peugeot,308,27898,bencinski,1199,96,13950
Peugeot,5008,130000,diesel,1997,110,11900
Peugeot,308,101800,diesel,1997,110,9490
Peugeot,407,235800,diesel,1560,80,3150
Peugeot,308,199000,bencinski,1598,110,3490
Peugeot,508,129896,diesel,1997,103,11990
Peugeot,5008,111002,diesel,1560,84,10650
Peugeot,2008,155230,diesel,1560,68,8770
Peugeot,5008,199842,diesel,1560,84,6750
Peugeot,307,264700,diesel,1997,79,1550
Peugeot,2008,87000,diesel,1560,68,9800
Peugeot,308,66000,bencinski,1598,88,6370
Peugeot,308,130000,diesel,1997,110,10200
Peugeot,508,208532,diesel,1997,103,6935
Peugeot,508,120000,diesel,1560,84,10550
Peugeot,207,97000,bencinski,1360,54,2300
Peugeot,307,255742,diesel,1560,80,3190
Peugeot,5008,188500,diesel,1560,84,6990
Peugeot,107,130308,bencinski,998,50,2990
Peugeot,4007,206884,diesel,2179,115,6900
Peugeot,4007,212410,diesel,2179,115,6500
Peugeot,508,125000,diesel,1997,110,12500
Peugeot,3008,144589,diesel,1560,84,9890
Peugeot,207,187000,diesel,1398,50,2700
Peugeot,508,234000,diesel,1560,84,7650
Peugeot,207,139234,bencinski,1360,54,3990
Peugeot,308,135000,diesel,1560,82,9990
Peugeot,307,261000,diesel,1997,79,1090
Peugeot,308,136000,diesel,1560,73,8600
Peugeot,206,157000,bencinski,1587,80,2450
Peugeot,206,69000,bencinski,1360,55,2490
Peugeot,207,107000,bencinski,1360,54,4950
Peugeot,206,263187,diesel,1398,50,1790
Peugeot,3008,75000,diesel,1560,84,11690
